datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-09-25,2019-09-25,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,152.0,ug/m3,automatico,2019,9,25,23,,2019-09-25 23:00:00
2019-10-02,2019-10-02,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,152.0,ug/m3,automatico,2019,10,2,00,,2019-10-02 00:00:00
2019-09-17,2019-09-17,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,151.0,ug/m3,automatico,2019,9,17,19,,2019-09-17 19:00:00
2019-09-13,2019-09-13,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,150.0,ug/m3,automatico,2019,9,13,17,,2019-09-13 17:00:00
2019-09-16,2019-09-16,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,150.0,ug/m3,automatico,2019,9,16,22,,2019-09-16 22:00:00
2019-09-15,2019-09-15,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,148.0,ug/m3,automatico,2019,9,15,23,,2019-09-15 23:00:00
2019-10-01,2019-10-01,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,148.0,ug/m3,automatico,2019,10,1,15,,2019-10-01 15:00:00
2019-10-07,2019-10-07,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,148.0,ug/m3,automatico,2019,10,7,00,,2019-10-07 00:00:00
2019-09-21,2019-09-21,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,147.0,ug/m3,automatico,2019,9,21,18,,2019-09-21 18:00:00
2019-09-21,2019-09-21,20:00:00,UM Alto Alegre - Móvel,CE03,MP10,147.0,ug/m3,automatico,2019,9,21,20,,2019-09-21 20:00:00
2019-09-15,2019-09-15,20:00:00,UM Alto Alegre - Móvel,CE03,MP10,146.0,ug/m3,automatico,2019,9,15,20,,2019-09-15 20:00:00
2019-09-20,2019-09-20,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,146.0,ug/m3,automatico,2019,9,20,14,,2019-09-20 14:00:00
2019-09-17,2019-09-17,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,145.0,ug/m3,automatico,2019,9,17,16,,2019-09-17 16:00:00
2019-09-28,2019-09-28,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,144.0,ug/m3,automatico,2019,9,28,00,,2019-09-28 00:00:00
2019-09-16,2019-09-16,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,142.0,ug/m3,automatico,2019,9,16,15,,2019-09-16 15:00:00
2019-10-05,2019-10-05,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,142.0,ug/m3,automatico,2019,10,5,23,,2019-10-05 23:00:00
2019-10-05,2019-10-05,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,141.0,ug/m3,automatico,2019,10,5,01,,2019-10-05 01:00:00
2019-09-21,2019-09-21,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,140.0,ug/m3,automatico,2019,9,21,12,,2019-09-21 12:00:00
2019-10-02,2019-10-02,06:00:00,UM Alto Alegre - Móvel,CE03,MP10,140.0,ug/m3,automatico,2019,10,2,06,,2019-10-02 06:00:00
2019-09-17,2019-09-17,03:00:00,UM Alto Alegre - Móvel,CE03,MP10,138.0,ug/m3,automatico,2019,9,17,03,,2019-09-17 03:00:00
2019-09-29,2019-09-29,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,138.0,ug/m3,automatico,2019,9,29,21,,2019-09-29 21:00:00
2019-09-22,2019-09-22,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,137.0,ug/m3,automatico,2019,9,22,14,,2019-09-22 14:00:00
2019-09-23,2019-09-23,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,137.0,ug/m3,automatico,2019,9,23,16,,2019-09-23 16:00:00
2019-09-20,2019-09-20,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,136.0,ug/m3,automatico,2019,9,20,17,,2019-09-20 17:00:00
2019-10-02,2019-10-02,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,136.0,ug/m3,automatico,2019,10,2,01,,2019-10-02 01:00:00
2019-09-16,2019-09-16,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,135.0,ug/m3,automatico,2019,9,16,23,,2019-09-16 23:00:00
2019-09-22,2019-09-22,05:00:00,UM Alto Alegre - Móvel,CE03,MP10,135.0,ug/m3,automatico,2019,9,22,05,,2019-09-22 05:00:00
2019-09-22,2019-09-22,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,135.0,ug/m3,automatico,2019,9,22,13,,2019-09-22 13:00:00
2019-10-04,2019-10-04,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,135.0,ug/m3,automatico,2019,10,4,12,,2019-10-04 12:00:00
2019-09-16,2019-09-16,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,134.0,ug/m3,automatico,2019,9,16,21,,2019-09-16 21:00:00
2019-09-19,2019-09-19,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,134.0,ug/m3,automatico,2019,9,19,15,,2019-09-19 15:00:00
2019-09-23,2019-09-23,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,133.0,ug/m3,automatico,2019,9,23,22,,2019-09-23 22:00:00
2019-09-14,2019-09-14,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,132.0,ug/m3,automatico,2019,9,14,16,,2019-09-14 16:00:00
2019-09-21,2019-09-21,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,132.0,ug/m3,automatico,2019,9,21,15,,2019-09-21 15:00:00
2019-09-26,2019-09-26,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,132.0,ug/m3,automatico,2019,9,26,12,,2019-09-26 12:00:00
2019-09-29,2019-09-29,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,132.0,ug/m3,automatico,2019,9,29,15,,2019-09-29 15:00:00
2019-10-06,2019-10-06,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,132.0,ug/m3,automatico,2019,10,6,21,,2019-10-06 21:00:00
