datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Sp - Portaria Norte,RJ257,PTS,46.2,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Sp - Portaria Norte,RJ257,PTS,42.2,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Sp - Portaria Norte,RJ257,PTS,63.9,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Sp - Portaria Norte,RJ257,PTS,57.8,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Sp - Portaria Norte,RJ257,PTS,71.8,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Sp - Portaria Norte,RJ257,PTS,50.0,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Sp - Portaria Norte,RJ257,PTS,78.0,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Sp - Portaria Norte,RJ257,PTS,83.2,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Sp - Portaria Norte,RJ257,PTS,63.1,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Sp - Portaria Norte,RJ257,PTS,33.5,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Sp - Portaria Norte,RJ257,PTS,58.0,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Sp - Portaria Norte,RJ257,PTS,89.0,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Sp - Portaria Norte,RJ257,PTS,70.4,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Sp - Portaria Norte,RJ257,PTS,26.6,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Sp - Portaria Norte,RJ257,PTS,81.4,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Sp - Portaria Norte,RJ257,PTS,40.8,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Sp - Portaria Norte,RJ257,PTS,48.7,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Sp - Portaria Norte,RJ257,PTS,75.9,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Sp - Portaria Norte,RJ257,PTS,71.6,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Sp - Portaria Norte,RJ257,PTS,22.6,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Sp - Portaria Norte,RJ257,PTS,103.5,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,Sp - Portaria Norte,RJ257,PTS,111.4,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Sp - Portaria Norte,RJ257,PTS,88.3,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Sp - Portaria Norte,RJ257,PTS,72.7,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Sp - Portaria Norte,RJ257,PTS,59.1,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Sp - Portaria Norte,RJ257,PTS,211.7,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Sp - Portaria Norte,RJ257,PTS,53.8,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Sp - Portaria Norte,RJ257,PTS,94.1,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Sp - Portaria Norte,RJ257,PTS,98.2,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Sp - Portaria Norte,RJ257,PTS,230.1,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,Sp - Portaria Norte,RJ257,PTS,63.8,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,Sp - Portaria Norte,RJ257,PTS,120.5,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,Sp - Portaria Norte,RJ257,PTS,93.4,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,Sp - Portaria Norte,RJ257,PTS,106.2,µg/m3,manual,2019,7,19,00,2019-07-19
