Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2020-01-01,01:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2020-01-01,02:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2020-01-01,03:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2020-01-01,04:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2020-01-01,05:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2020-01-01,06:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2020-01-01,07:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2020-01-01,08:00:00,CIPP,CE01,CO,469,ug/m3,automatico
2020-01-01,10:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2020-01-01,11:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2020-01-01,12:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2020-01-01,13:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2020-01-01,14:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2020-01-01,15:00:00,CIPP,CE01,CO,366,ug/m3,automatico
2020-01-01,16:00:00,CIPP,CE01,CO,378,ug/m3,automatico
2020-01-01,17:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2020-01-01,18:00:00,CIPP,CE01,CO,412,ug/m3,automatico
2020-01-01,19:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2020-01-01,20:00:00,CIPP,CE01,CO,412,ug/m3,automatico
2020-01-01,21:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2020-01-01,22:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2020-01-01,23:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2020-01-02,00:00:00,CIPP,CE01,CO,412,ug/m3,automatico
2020-01-02,01:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2020-01-02,02:00:00,CIPP,CE01,CO,309,ug/m3,automatico
2020-01-02,03:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2020-01-02,04:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2020-01-02,05:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2020-01-02,06:00:00,CIPP,CE01,CO,344,ug/m3,automatico
2020-01-02,07:00:00,CIPP,CE01,CO,366,ug/m3,automatico
2020-01-02,08:00:00,CIPP,CE01,CO,389,ug/m3,automatico
2020-01-02,09:00:00,CIPP,CE01,CO,355,ug/m3,automatico
