Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-08-29,02:00:00,CIPP,CE01,CO,1340,ug/m3,automatico
2016-08-29,03:00:00,CIPP,CE01,CO,1328,ug/m3,automatico
2016-08-29,04:00:00,CIPP,CE01,CO,1260,ug/m3,automatico
2016-08-29,05:00:00,CIPP,CE01,CO,1431,ug/m3,automatico
2016-08-29,06:00:00,CIPP,CE01,CO,1603,ug/m3,automatico
2016-08-29,07:00:00,CIPP,CE01,CO,1454,ug/m3,automatico
2016-08-29,08:00:00,CIPP,CE01,CO,1843,ug/m3,automatico
2016-08-29,09:00:00,CIPP,CE01,CO,1809,ug/m3,automatico
2016-08-29,10:00:00,CIPP,CE01,CO,744,ug/m3,automatico
2016-08-29,11:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-08-29,12:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-08-29,13:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-08-29,14:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-08-29,15:00:00,CIPP,CE01,CO,218,ug/m3,automatico
2016-08-29,16:00:00,CIPP,CE01,CO,286,ug/m3,automatico
2016-08-29,17:00:00,CIPP,CE01,CO,355,ug/m3,automatico
2016-08-29,18:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-08-29,19:00:00,CIPP,CE01,CO,1008,ug/m3,automatico
2016-08-29,20:00:00,CIPP,CE01,CO,1363,ug/m3,automatico
2016-08-29,21:00:00,CIPP,CE01,CO,1156,ug/m3,automatico
2016-08-29,22:00:00,CIPP,CE01,CO,1637,ug/m3,automatico
2016-08-29,23:00:00,CIPP,CE01,CO,1500,ug/m3,automatico
2016-08-30,00:00:00,CIPP,CE01,CO,1122,ug/m3,automatico
2016-08-30,01:00:00,CIPP,CE01,CO,1179,ug/m3,automatico
2016-08-30,02:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-08-30,03:00:00,CIPP,CE01,CO,756,ug/m3,automatico
2016-08-30,04:00:00,CIPP,CE01,CO,870,ug/m3,automatico
2016-08-30,05:00:00,CIPP,CE01,CO,836,ug/m3,automatico
2016-08-30,06:00:00,CIPP,CE01,CO,1030,ug/m3,automatico
2016-08-30,07:00:00,CIPP,CE01,CO,1328,ug/m3,automatico
2016-08-30,08:00:00,CIPP,CE01,CO,1385,ug/m3,automatico
2016-08-30,09:00:00,CIPP,CE01,CO,1076,ug/m3,automatico
2016-08-30,10:00:00,CIPP,CE01,CO,916,ug/m3,automatico
2016-08-30,11:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-08-30,12:00:00,CIPP,CE01,CO,0,ug/m3,automatico
2016-08-30,13:00:00,CIPP,CE01,CO,4374,ug/m3,automatico
2016-08-30,14:00:00,CIPP,CE01,CO,229,ug/m3,automatico
2016-08-30,15:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-08-30,16:00:00,CIPP,CE01,CO,584,ug/m3,automatico
2016-08-30,17:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-08-30,18:00:00,CIPP,CE01,CO,756,ug/m3,automatico
2016-08-30,19:00:00,CIPP,CE01,CO,905,ug/m3,automatico
2016-08-30,20:00:00,CIPP,CE01,CO,1053,ug/m3,automatico
2016-08-30,21:00:00,CIPP,CE01,CO,1088,ug/m3,automatico
2016-08-30,22:00:00,CIPP,CE01,CO,939,ug/m3,automatico
2016-08-30,23:00:00,CIPP,CE01,CO,882,ug/m3,automatico
2016-08-31,00:00:00,CIPP,CE01,CO,1019,ug/m3,automatico
2016-08-31,01:00:00,CIPP,CE01,CO,1122,ug/m3,automatico
2016-08-31,02:00:00,CIPP,CE01,CO,1145,ug/m3,automatico
2016-08-31,03:00:00,CIPP,CE01,CO,1122,ug/m3,automatico
2016-08-31,04:00:00,CIPP,CE01,CO,985,ug/m3,automatico
2016-08-31,05:00:00,CIPP,CE01,CO,756,ug/m3,automatico
2016-08-31,06:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-08-31,07:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-08-31,08:00:00,CIPP,CE01,CO,698,ug/m3,automatico
2016-08-31,09:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-08-31,10:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-08-31,11:00:00,CIPP,CE01,CO,676,ug/m3,automatico
2016-08-31,12:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-08-31,13:00:00,CIPP,CE01,CO,321,ug/m3,automatico
2016-08-31,14:00:00,CIPP,CE01,CO,332,ug/m3,automatico
2016-08-31,15:00:00,CIPP,CE01,CO,355,ug/m3,automatico
2016-08-31,16:00:00,CIPP,CE01,CO,344,ug/m3,automatico
2016-08-31,17:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-08-31,18:00:00,CIPP,CE01,CO,584,ug/m3,automatico
2016-08-31,19:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-08-31,20:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-08-31,21:00:00,CIPP,CE01,CO,630,ug/m3,automatico
2016-08-31,22:00:00,CIPP,CE01,CO,584,ug/m3,automatico
2016-08-31,23:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-09-01,00:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2016-09-01,01:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-01,02:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-01,03:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2016-09-01,04:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2016-09-01,05:00:00,CIPP,CE01,CO,458,ug/m3,automatico
2016-09-01,06:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-01,07:00:00,CIPP,CE01,CO,721,ug/m3,automatico
2016-09-01,08:00:00,CIPP,CE01,CO,847,ug/m3,automatico
2016-09-01,09:00:00,CIPP,CE01,CO,916,ug/m3,automatico
2016-09-01,10:00:00,CIPP,CE01,CO,893,ug/m3,automatico
2016-09-01,11:00:00,CIPP,CE01,CO,664,ug/m3,automatico
2016-09-01,12:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-09-01,13:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-01,14:00:00,CIPP,CE01,CO,641,ug/m3,automatico
2016-09-01,15:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-09-01,16:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-09-01,17:00:00,CIPP,CE01,CO,653,ug/m3,automatico
2016-09-01,18:00:00,CIPP,CE01,CO,698,ug/m3,automatico
2016-09-01,19:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-09-01,20:00:00,CIPP,CE01,CO,687,ug/m3,automatico
2016-09-01,21:00:00,CIPP,CE01,CO,779,ug/m3,automatico
2016-09-01,22:00:00,CIPP,CE01,CO,779,ug/m3,automatico
2016-09-01,23:00:00,CIPP,CE01,CO,779,ug/m3,automatico
2016-09-02,00:00:00,CIPP,CE01,CO,676,ug/m3,automatico
2016-09-02,01:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-09-02,02:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2016-09-02,03:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-09-02,04:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-02,05:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2016-09-02,06:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-09-02,07:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-02,08:00:00,CIPP,CE01,CO,630,ug/m3,automatico
2016-09-02,09:00:00,CIPP,CE01,CO,790,ug/m3,automatico
2016-09-02,10:00:00,CIPP,CE01,CO,1122,ug/m3,automatico
2016-09-02,11:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-09-02,12:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-09-02,13:00:00,CIPP,CE01,CO,630,ug/m3,automatico
2016-09-02,14:00:00,CIPP,CE01,CO,847,ug/m3,automatico
2016-09-02,15:00:00,CIPP,CE01,CO,653,ug/m3,automatico
2016-09-02,16:00:00,CIPP,CE01,CO,481,ug/m3,automatico
2016-09-02,17:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-02,18:00:00,CIPP,CE01,CO,767,ug/m3,automatico
2016-09-02,19:00:00,CIPP,CE01,CO,847,ug/m3,automatico
2016-09-02,20:00:00,CIPP,CE01,CO,1008,ug/m3,automatico
2016-09-02,21:00:00,CIPP,CE01,CO,893,ug/m3,automatico
2016-09-02,22:00:00,CIPP,CE01,CO,790,ug/m3,automatico
2016-09-02,23:00:00,CIPP,CE01,CO,813,ug/m3,automatico
2016-09-03,00:00:00,CIPP,CE01,CO,836,ug/m3,automatico
2016-09-03,01:00:00,CIPP,CE01,CO,893,ug/m3,automatico
2016-09-03,02:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-03,03:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-03,04:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-09-03,05:00:00,CIPP,CE01,CO,630,ug/m3,automatico
2016-09-03,06:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-09-03,07:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-03,08:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-03,09:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-09-03,10:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-09-03,11:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2016-09-03,12:00:00,CIPP,CE01,CO,561,ug/m3,automatico
2016-09-03,13:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-09-03,14:00:00,CIPP,CE01,CO,584,ug/m3,automatico
2016-09-03,15:00:00,CIPP,CE01,CO,676,ug/m3,automatico
2016-09-03,16:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-09-03,17:00:00,CIPP,CE01,CO,550,ug/m3,automatico
2016-09-03,18:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-09-03,19:00:00,CIPP,CE01,CO,733,ug/m3,automatico
2016-09-03,20:00:00,CIPP,CE01,CO,824,ug/m3,automatico
2016-09-03,21:00:00,CIPP,CE01,CO,1282,ug/m3,automatico
2016-09-03,22:00:00,CIPP,CE01,CO,1397,ug/m3,automatico
2016-09-03,23:00:00,CIPP,CE01,CO,1557,ug/m3,automatico
2016-09-04,00:00:00,CIPP,CE01,CO,927,ug/m3,automatico
2016-09-04,01:00:00,CIPP,CE01,CO,710,ug/m3,automatico
2016-09-04,02:00:00,CIPP,CE01,CO,595,ug/m3,automatico
2016-09-04,03:00:00,CIPP,CE01,CO,676,ug/m3,automatico
2016-09-04,04:00:00,CIPP,CE01,CO,710,ug/m3,automatico
